OBJECTID,Id,Company,Status,StatusStart,LatestEventStart,LatestEventEnd,Latitude,Longitude,ReceivingWaterCourse,LastUpdated,x,y
1309,WXW00925,Wessex Water,0,12/18/2025 5:32:00 PM,12/18/2025 2:00:00 PM,12/18/2025 5:32:00 PM,51.5333386735845,-2.48381580369906,RIVER FROME,3/9/2026 5:33:26 PM,-276497.110492065,6716182.9629874
1310,WXW01278,Wessex Water,0,10/31/2025 10:24:00 PM,10/31/2025 10:22:00 PM,10/31/2025 10:24:00 PM,51.4384158070894,-2.00318951820943,RIVER MARDEN VIA SWS,3/9/2026 5:33:26 PM,-222994.037129497,6699213.88871399
1311,WXW00698,Wessex Water,0,7/31/2025 12:40:00 PM,7/31/2025 12:38:00 PM,7/31/2025 12:40:00 PM,51.4572520081721,-2.11008857616018,RIVER AVON,3/9/2026 5:33:26 PM,-234893.985826855,6702578.37167433
1312,WXW00360,Wessex Water,0,,,,51.4616353515503,-2.12104857485397,HARDENHUISH BROOK,3/9/2026 5:33:26 PM,-236114.047300543,6703361.5144555
1313,WXW00181,Wessex Water,0,,,,51.568617728633,-1.96706732358402,WOODBRIDGE BROOK,3/9/2026 5:33:26 PM,-218972.932817461,6722498.71169806
1314,WXW00508,Wessex Water,0,1/24/2026 9:12:00 PM,1/24/2026 9:08:00 PM,1/24/2026 9:12:00 PM,51.5842845782062,-2.1032624926207,RIVER AVON (SHERSTON BRANCH),3/9/2026 5:33:26 PM,-234134.109683128,6725305.0035827
1315,WXW00791,Wessex Water,0,,,,51.5359958347182,-1.90862257174426,WESTBURY PARK W/C VIA SWS,3/9/2026 5:33:26 PM,-212466.89280312,6716658.48441551
1316,WXW00258,Wessex Water,0,11/14/2025 6:32:00 PM,11/14/2025 6:10:00 PM,11/14/2025 6:32:00 PM,51.4562886919936,-2.11781050468926,RIVER AVON,3/9/2026 5:33:26 PM,-235753.586978654,6702406.27246585
1317,WXW00757,Wessex Water,0,,,,51.4356471726249,-2.01908710804534,RIVER MARDEN,3/9/2026 5:33:26 PM,-224763.74873487,6698719.47796799
1318,WXW00685,Wessex Water,0,,,,51.4357591234067,-2.00573693087482,RIVER MARDEN VIA SWS,3/9/2026 5:33:26 PM,-223277.613810248,6698739.46907215
1319,WXW00293,Wessex Water,0,,,,51.06381118698,-1.78553721749629,RIVER AVON,3/9/2026 5:33:26 PM,-198765.093844126,6632588.95431796
1320,WXW01101,Wessex Water,0,11/29/2025 8:34:00 AM,11/29/2025 8:32:00 AM,11/29/2025 8:34:00 AM,51.0914149434936,-2.2651003703793,SHREEN WATER,3/9/2026 5:33:26 PM,-252149.819826279,6637479.92551819
1321,WXW00517,Wessex Water,0,11/29/2025 8:38:00 AM,11/29/2025 8:32:00 AM,11/29/2025 8:38:00 AM,51.091271715282,-2.26497395122591,SHREEN WATER,3/9/2026 5:33:26 PM,-252135.746910497,6637454.54009674
1322,WXW00031,Wessex Water,0,2/13/2026 1:40:00 PM,2/13/2026 1:10:00 PM,2/13/2026 1:40:00 PM,51.276558502768,-2.78848089252506,HELLIERS STREAM VIA SWS,3/9/2026 5:33:26 PM,-310412.273042662,6670360.29120629
1323,WXW00172,Wessex Water,0,,,,51.6312839270221,-2.35090585620658,DYERS BROOK,3/9/2026 5:33:26 PM,-261701.642815841,6733729.47419494
1324,WXW00902,Wessex Water,0,,,,51.0281559266889,-2.98097966994541,TRIB OF HAYMOOR OLD RHYNE SWS,3/9/2026 5:33:26 PM,-331841.138923424,6626275.69217292
1325,WXW01162,Wessex Water,0,,,,51.2930192776827,-2.43868004064297,THE WELLOW BROOK,3/9/2026 5:33:26 PM,-271472.620332096,6673290.0307812
1326,WXW00114,Wessex Water,0,11/14/2025 7:10:00 PM,11/14/2025 6:52:00 PM,11/14/2025 7:10:00 PM,51.405083226612,-2.31894245870834,RIVER AVON,3/9/2026 5:33:26 PM,-258143.493682314,6693263.49112403
1327,WXW00350,Wessex Water,0,1/27/2026 5:10:00 AM,1/27/2026 4:34:00 AM,1/27/2026 5:10:00 AM,50.7138144064699,-2.42552186831055,(S) MILL STREAM,3/9/2026 5:33:26 PM,-270007.85928828,6570826.08205224
1328,WXW00351,Wessex Water,0,2/18/2026 10:24:00 PM,2/18/2026 10:22:00 PM,2/18/2026 10:24:00 PM,50.7141375561861,-2.42617600804773,(S) MILL STREAM,3/9/2026 5:33:26 PM,-270080.67779073,6570882.89397746
1329,WXW00353,Wessex Water,0,8/29/2025 2:10:00 AM,8/29/2025 1:46:00 AM,8/29/2025 2:10:00 AM,50.715726880008,-2.43269725606092,RIVER FROME VIA SWS,3/9/2026 5:33:26 PM,-270806.619798896,6571162.31365102
